ANTENNAE: z = 0.00547, d = 27.90 Mpc, v = 1640 km/s, m = 10.91, H = 58.76, B-V = 0.00
CENTAURUS A: z = 0.00183, d = 4.90 Mpc, v = 547 km/s, m = 6.84, H = 111.69, B-V = 1.34
IC 2738: z = 0.05360, d = 213.00 Mpc, v = 16065 km/s, m = 15.30, H = 75.42, B-V = 0.00
LGS 3: z = 0.00096, d = 1.20 Mpc, v = 286 km/s, m = 14.30, H = 238.93, B-V = 1.88
M49: z = 0.00339, d = 17.70 Mpc, v = 1017 km/s, m = 8.40, H = 57.46, B-V = 4.81
M58: z = 0.00505, d = 19.10 Mpc, v = 1513 km/s, m = 9.66, H = 79.20, B-V = 0.82
M60: z = 0.00369, d = 16.80 Mpc, v = 1106 km/s, m = 8.80, H = 65.83, B-V = 1.50
M61: z = 0.00524, d = 16.10 Mpc, v = 1571 km/s, m = 9.65, H = 97.55, B-V = 0.53
M66: z = 0.00235, d = 11.00 Mpc, v = 704 km/s, m = 8.90, H = 64.01, B-V = 0.75
M74: z = 0.00219, d = 9.20 Mpc, v = 656 km/s, m = 9.40, H = 71.28, B-V = 0.55
M77: z = 0.00381, d = 14.40 Mpc, v = 1142 km/s, m = 8.90, H = 79.30, B-V = 0.71
M84: z = 0.00337, d = 18.40 Mpc, v = 1010 km/s, m = 9.10, H = 54.88, B-V = 2.99
M87: z = 0.00423, d = 18.40 Mpc, v = 1269 km/s, m = 8.60, H = 68.95, B-V = 0.99
M88: z = 0.00760, d = 14.41 Mpc, v = 2279 km/s, m = 9.60, H = 158.12, B-V = 4.73
M94: z = 0.00096, d = 4.91 Mpc, v = 288 km/s, m = 8.20, H = 58.60, B-V = 0.79
M95: z = 0.00260, d = 10.00 Mpc, v = 778 km/s, m = 9.70, H = 77.78, B-V = 0.83
M96: z = 0.00301, d = 9.60 Mpc, v = 903 km/s, m = 9.30, H = 94.04, B-V = 0.91
M99: z = 0.00804, d = 15.40 Mpc, v = 2409 km/s, m = 9.90, H = 156.40, B-V = 0.54
M100: z = 0.00525, d = 16.86 Mpc, v = 1574 km/s, m = 9.40, H = 93.33, B-V = 0.65
M104: z = 0.00364, d = 8.98 Mpc, v = 1092 km/s, m = 8.00, H = 121.56, B-V = 0.98
M105: z = 0.00292, d = 9.80 Mpc, v = 876 km/s, m = 9.30, H = 89.37, B-V = 1.26
M106: z = 0.00154, d = 7.00 Mpc, v = 462 km/s, m = 8.40, H = 65.98, B-V = 0.70
M108: z = 0.00233, d = 14.10 Mpc, v = 698 km/s, m = 10.00, H = 49.49, B-V = 0.70
NGC 300: z = 0.00049, d = 1.98 Mpc, v = 146 km/s, m = 8.13, H = 73.72, B-V = 0.56
NGC 891: z = 0.00176, d = 9.12 Mpc, v = 528 km/s, m = 10.10, H = 57.88, B-V = 0.71
NGC 1260: z = 0.01840, d = 77.00 Mpc, v = 5515 km/s, m = 13.53, H = 71.62, B-V = 0.67
NGC 1270: z = 0.01669, d = 53.70 Mpc, v = 5002 km/s, m = 13.32, H = 93.16, B-V = 1.08
NGC 1271: z = 0.01285, d = 53.70 Mpc, v = 3852 km/s, m = 13.66, H = 71.72, B-V = 0.84
NGC 1275: z = 0.01756, d = 68.90 Mpc, v = 5263 km/s, m = 12.48, H = 76.39, B-V = 0.62
NGC 1316: z = 0.00591, d = 16.90 Mpc, v = 1772 km/s, m = 8.53, H = 104.83, B-V = 0.62
NGC 1512: z = 0.00278, d = 14.30 Mpc, v = 834 km/s, m = 10.32, H = 58.31, B-V = 0.76
NGC 1672: z = 0.00446, d = 14.50 Mpc, v = 1338 km/s, m = 9.68, H = 92.28, B-V = 0.85
NGC 1705: z = 0.00211, d = 6.00 Mpc, v = 633 km/s, m = 12.39, H = 105.50, B-V = 0.43
NGC 3079: z = 0.00377, d = 22.60 Mpc, v = 1129 km/s, m = 10.86, H = 49.95, B-V = 0.68
NGC 3115: z = 0.00222, d = 13.30 Mpc, v = 666 km/s, m = 9.90, H = 50.08, B-V = 1.10
NGC 3226: z = 0.00423, d = 23.40 Mpc, v = 1268 km/s, m = 13.33, H = 54.18, B-V = 0.99
NGC 3227: z = 0.00365, d = 23.70 Mpc, v = 1094 km/s, m = 11.79, H = 46.16, B-V = 0.82
NGC 3310: z = 0.00337, d = 22.90 Mpc, v = 1009 km/s, m = 12.15, H = 44.06, B-V = 0.30
NGC 3370: z = 0.00428, d = 31.20 Mpc, v = 1282 km/s, m = 12.40, H = 41.08, B-V = 0.00
NGC 3808: z = 0.02360, d = 116.00 Mpc, v = 7075 km/s, m = 14.10, H = 60.99, B-V = 14.10
NGC 4005: z = 0.01489, d = 81.20 Mpc, v = 4463 km/s, m = 13.44, H = 54.96, B-V = 0.66
NGC 4556: z = 0.02522, d = 114.00 Mpc, v = 7559 km/s, m = 14.40, H = 66.31, B-V = 0.00
NGC 4860: z = 0.02647, d = 67.60 Mpc, v = 7934 km/s, m = 13.24, H = 117.36, B-V = 1.46
NGC 4881: z = 0.02253, d = 127.00 Mpc, v = 6752 km/s, m = 13.56, H = 53.16, B-V = 1.14
NGC 5643: z = 0.00399, d = 16.90 Mpc, v = 1196 km/s, m = 13.60, H = 70.76, B-V = -2.57
NGC 6907: z = 0.01065, d = 45.00 Mpc, v = 3192 km/s, m = 11.30, H = 70.93, B-V = 0.61
3C 273: z = 0.15834, d = 657.80 Mpc, v = 47459 km/s, m = nan, H = 72.15, B-V = nan
ESO 254-3: z = 0.05269, d = 231.14 Mpc, v = 15793 km/s, m = nan, H = 68.33, B-V = nan
ESO 291-6: z = 0.08651, d = 354.00 Mpc, v = 25930 km/s, m = nan, H = 73.25, B-V = nan
ESO 410-6: z = 0.10934, d = 440.55 Mpc, v = 32772 km/s, m = nan, H = 74.39, B-V = nan
LEDA 1964358: z = 0.22983, d = 1060.75 Mpc, v = 68887 km/s, m = nan, H = 64.94, B-V = nan
LEDA 1163616: z = 0.11264, d = 481.64 Mpc, v = 33761 km/s, m = nan, H = 70.10, B-V = nan
LEDA 2816758: z = 0.17780, d = 736.60 Mpc, v = 53292 km/s, m = nan, H = 72.35, B-V = nan
MGC-02-02-026: z = 0.05400, d = 193.41 Mpc, v = 16185 km/s, m = nan, H = 83.68, B-V = nan
MGC-03-03-004: z = 0.05518, d = 197.49 Mpc, v = 16539 km/s, m = nan, H = 83.75, B-V = nan
Mrk 540: z = 0.07114, d = 304.79 Mpc, v = 21323 km/s, m = nan, H = 69.96, B-V = nan
